patient_id,mrn,name,ssn,dob,gender,phone,email,address,city,state,zip_code,insurance_provider,policy_number,diagnosis_code,diagnosis_description,admission_date,discharge_date,attending_physician,department,room_number,treatment_cost,prescription_count
PAT-70001,MRN-100234,Emily Johnson,123-45-6789,1985-03-15,F,+1-555-2001,emily.j@email.com,123 Health St,Seattle,WA,98101,BlueCross,BC-789456,J18.9,Pneumonia,2024-01-10,2024-01-15,Dr. Sarah Chen,Pulmonology,301,4567.89,3
PAT-70002,MRN-100235,Michael Smith,234-56-7890,1972-07-22,M,+1-555-2002,michael.s@mail.com,456 Care Ave,Portland,OR,97201,Aetna,AE-456123,I10,Hypertension,2024-01-11,2024-01-13,Dr. James Wilson,Cardiology,205,2345.67,5
PAT-70003,MRN-100236,Sarah Davis,345-67-8901,1990-11-08,F,+1-555-2003,sarah.d@provider.net,789 Wellness Rd,San Francisco,CA,94102,Kaiser,KP-123789,E11.9,Type 2 Diabetes,2024-01-12,2024-01-18,Dr. Maria Garcia,Endocrinology,412,6789.45,7
PAT-70004,MRN-100237,Robert Brown,456-78-9012,1968-05-30,M,555-2004,robert.b@email.com,321 Medical Ln,Los Angeles,CA,90001,UnitedHealth,UH-987654,M54.5,Low back pain,2024-01-13,2024-01-14,Dr. David Lee,Orthopedics,108,1234.56,2
PAT-70005,MRN-100238,Jennifer Wilson,567-89-0123,1995-09-17,F,+1-555-2005,jennifer.w@mail.com,654 Hospital Dr,Denver,CO,80201,Cigna,CG-654321,O80,Normal delivery,2024-01-14,2024-01-17,Dr. Lisa Anderson,Obstetrics,503,8901.23,4
PAT-70006,MRN-100239,David Martinez,678-90-1234,1980-12-25,M,+1-555-2006,david.m@provider.net,987 Clinic Way,Austin,TX,78701,BlueCross,BC-321654,K21.9,GERD,2024-01-15,2024-01-16,Dr. Robert Taylor,Gastroenterology,215,1567.89,3
PAT-70007,MRN-100240,Lisa Anderson,789-01-2345,1963-04-12,F,,lisa.a@email.com,147 Treatment Ct,Boston,MA,02101,Aetna,AE-789123,C50.9,Breast cancer,2024-01-16,2024-01-25,Dr. Patricia Moore,Oncology,601,23456.78,12
PAT-70008,MRN-100241,James Taylor,890-12-3456,1988-08-19,M,+1-555-2008,james.t@mail.com,258 Recovery Blvd,Chicago,IL,60601,Kaiser,KP-456789,S72.0,Femur fracture,2024-01-17,2024-01-22,Dr. Christopher Davis,Orthopedics,304,12345.67,6
PAT-70009,MRN-100242,Patricia Moore,901-23-4567,1975-02-28,F,+1-555-2009,patricia.m@provider.net,369 Healing Pl,Miami,FL,33101,UnitedHealth,UH-654987,F32.9,Depression,2024-01-18,2024-01-20,Dr. Nancy Rodriguez,Psychiatry,702,3456.78,8
PAT-70010,MRN-100243,Christopher White,012-34-5678,1992-06-05,M,+1-555-2010,chris.w@email.com,741 Therapy St,Phoenix,AZ,85001,Cigna,CG-987321,J44.0,COPD,2024-01-19,2024-01-24,Dr. Daniel Moore,Pulmonology,405,7890.12,9
