batch,account_number,customer_id,contract,call_plan,BT_Basic,TV,Mobile,Sport,Carmen_Discount,Line_excluding_CP_offer,Line_rental_plus,CNF,Voicemail,Smart_Direct,NCC,Call_Barring,Permanent_Withhold_Number,Admin_CNF,Debt_CNF,Standard_Care,Prompt_Care,Total_Care,Prompt_Care_LRP,Total_Care_Priority,Priority_Fault_Repair,CSDP_Priority_Fault_Repair,Age_and_Disability_Call_Return,Special_Services_Marker,FF_Bundle_Free,FF_AddOn_Priced,FF_Mobile_Free,Freedom_Bundle_Free,Freedom_AddOn_Free,birth_dt,title,first_name,last_name,age_band,Email,primary_contact_number,RoBT_NAD_Key,postcode,bill_amount,payment_method,bill_type,bill_frequency,next_bill_date,bill_format,directory_entry,poa,split_service_flg,telecare_flg,voice_usage,eligibility_flg,cps_flg,uxd5_exchange_flg,openreach_nad_key,ExchangeName,ExchangeCode,serviceid,serviceid_length,enabled,hot_site,open_fault,open_order,pstn_count,v_cat,disability,longlines,dacs_btc,reason_to_exclude
Available,CM58800058,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Miss,Edward,Green,,edward.g@outlook.com,01701 462123,R00022257675,OX95 8TE,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,11/02/2026,Blue Bill,O,,N,N,MED USAGE,FTTC,N,N,A00020635851,Stone Cross,CMSTOX,01701 462123,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
Available,WS60127804,XXXXXXXXXXXXer,OutContract,HPS_2020,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2001-01-01T00:00:00,Miss,Ronald,Anderson,18-74,ronaldanderson@gmail.com,01886 944912,R00000880973,EC7M 8EN,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,26/11/2025,Blue Bill,XDNC,,N,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00000798085,Kilbirnie,WSKIE,01886 944912,11,Y,,,,1,,XXXXXXXXXXXXplus,,0,
Available,233275724,XXXXXXXXXXXX,InContract,PAYG,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,1959-05-12T00:00:00,Ms,Emily,Williams,18-74,emily.williams@hotmail.com,0117 998 4610,R00010479057,S93 7NH,XXXXXXXXXXXX,Customer Initiated,Dual,1M,01/12/2025,Blue Bill,XDNC,,N,N,NO USAGE,,N,N,A00009710214,Lydd,NDLYD,0117 998 4610,11,Y,,,Open,1,,XXXXXXXXXXXX,,,
Available,WS60665668,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1943-09-22T00:00:00,,Sophie,Smith,80-84,ssmith@hotmail.com,0121 909 4754,R00000919194,CB3N 7LP,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,15/12/2025,Blue Bill,O,,N,N,HIGH USAGE,ULTRA_FTTP FTTP,N,N,A00000834155,Kilmarnock,WSKIL,0121 909 4754,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,MY52292198,XXXXXXXXXXXX,OutContract,HPS,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1940-02-03T00:00:00,Prof,Sarah,Williams,85-89,sarahwilliams@email.com,0161 255 5001,R02366779648,SW8H 8NQ,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,28/11/2025,Blue Bill,DQR,,N,N,LOW USAGE,FTTC,N,N,A00060817751,Haxby,MYHAX,0161 255 5001,11,,,,,1,,XXXXXXXXXXXX,A,0,
,EM14750039,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Dr,Nicole,,,nicole@mail.com,0121 978 6102,R00016681513,N50 3NX,XXXXXXXXXXXX,Monthly Payment Plan,Paper Bill,3M,24/11/2025,Blue Bill,O,,N,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00015476916,Edwalton,EMEDWAL,0121 978 6102,11,,,,,1,,XXXXXXXXXXXX,,0,
NOV_2,EM13610836,XXXXXXXXXXXX,OutContract,UAP,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,1960-12-01T00:00:00,Mrs,Frances,Wright,18-74,franceswright@company.com,020 8393 9266,R00016582809,BS12 0AW,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,13/12/2025,Blue Bill,XDNC,,N,N,MED USAGE,FTTC GFAST_200 ULTRA_FTTP FTTP,N,N,A00015383707,Ruddington,EMRDDIN,020 8393 9266,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,NS18796159,XXXXXXXXXXXX,OutContract,HPS_2020,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,,Mr,Anna,Wright,,anna.wright@company.com,07858 120707,R00009654869,B3R 2PZ,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,08/01/2026,Large Print,O,,Y,Y,MED USAGE,FTTC,N,N,A00008938553,Portree,NSPTR,07858 120707,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
,203559233,XXXXXXXXXXXX,OutContract,UAP,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,1940-06-30T00:00:00,Miss,Maria,Martinez,85-89,mmartinez@gmail.com,07937 646948,R00014858772,WC9R 0NE,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,07/02/2026,Blue Bill,XDNC,,N,N,MED USAGE,FTTC GFAST_100 ULTRA_FTTP FTTP,N,N,A00013777142,Donaldson,ESDON,07937 646948,11,,,,,1,,XXXXXXXXXXXX,,0,
OCT_3,WM34063334,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1946-08-12T00:00:00,Mr,Jessica,Campbell,75-79,jcampbell@outlook.com,0117 935 8945,R00019105543,M91 6QJ,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,09/12/2025,Blue Bill,XDNC,,N,N,HIGH USAGE,FTTC,N,N,A00017720690,Miltonlee,WMMTL,0117 935 8945,11,,,,,1,,XXXXXXXXXXXX,,0,
,WM33081679,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mrs,Heather,Edwards,,heather.edwards@email.com,020 8860 3801,R00023997706,SL16 2PR,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,16/12/2025,Blue Bill,XDNC,,N,N,HIGH USAGE,FTTC FTTP,N,N,A15033980340,Bromsgrove,WMBPZ,020 8860 3801,11,,,,,1,,XXXXXXXXXXXX,,0,
Available,EA30445821,XXXXXXXXXXXX,OutContract,UWP,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,1943-12-14T00:00:00,Mr,Carolyn,Collins,80-84,carolyn.c@email.com,020 8665 9600,R00007487701,LS7U 1UU,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,01/02/2026,Blue Bill,XDNC,,N,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00006948173,Tilbury,EATLB,020 8665 9600,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,CM59049662,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mr,Matthew,Williams,,matthew.williams@company.com,0113 938 2530,R00022348387,E5 7EW,XXXXXXXXXXXX,Direct Debit,Dual,3M,19/11/2025,Blue Bill,O,,Y,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00020718936,Penn; West Midlands,CMPEN,0113 938 2530,11,Y,,,,1,,XXXXXXXXXXXX,,0,
DEC_1,219773703,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1936-01-09T00:00:00,Dr,Kenneth,King,85-89,kking@gmail.com,01204 979071,R00004598073,BS1N 9FD,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,05/12/2025,Blue Bill,XDNC,,N,N,HIGH USAGE,,N,N,A00004239265,Strabane,NISE,01204 979071,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,SW10151562,XXXXXXXXXXXX,OutContract,HPS_2019,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Miss,Sarah,Martin,,smartin@gmail.com,0121 490 7605,R00008049406,RG4E 8TR,XXXXXXXXXXXX,Monthly Payment Plan,Paper Bill,3M,08/02/2026,Blue Bill,O,,N,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00007472084,Cwmbran,SWCRS,0121 490 7605,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
